,yields,ndvi,volumenImagen,volumenCalculado,areaCalculada,areaImagen,alturaImagen,alturaMedida,datosIafNdvi,meanRed,minRed,maxRed,minGreen,maxGreen,meanGreen,minBlue,maxBlue,meanBlue,maxHistIndexValue,maxHistRedIndexValue,maxHistGreenIndexValue,maxHistBlueIndexValue,varianceRed,varianceGreen,varianceBlue,criMean,criMax,criMin,cgreenviMean,cgreenviMax,cgreenviMin,cnirviMean,cnirviMax,cnirviMin,gndviMean,gndviMax,gndviMin,mcariOneMean,mcariOneMax,mcariOneMin,mtviOneMean,mtviOneMax,mtviOneMin,ngrdiMean,ngrdiMax,ngrdiMin,ndviMean,ndviMax,ndviMin,rviMean,rviMax,rviMin,nrviMean,nrviMax,nrviMin,tviMean,tviMax,tviMin,saviMean,saviMax,saviMin
yields,1.0,0.3620606360128911,0.7608973088102162,0.7549047452296734,0.6102318301229421,0.6321542984453792,0.7197362608947119,0.7300562797086255,0.5718684055729206,0.09237964872605062,-0.14697985628246063,0.4581561470002413,-0.3213904444468983,0.4708686120695163,0.1112274972994223,-0.018221787666427007,0.40892604265209836,0.07548073220338916,0.11880478553351524,,0.04520661108858962,0.04520661108858962,0.281555707892913,0.027769383502593132,0.4870362136558613,0.05350750053930879,0.5059185404360674,-0.19729056392040573,-0.08369369499426542,0.456592538649254,-0.31774086038400556,0.03654724353449818,0.14125586462225034,-0.04859294025296028,0.004334783666994501,0.33220217740429303,-0.4453858887119808,0.07207597002249702,0.3118475014566397,-0.012793393574284558,0.07207597002249702,0.3118475014566397,-0.012793393574284558,-0.010825743665576261,0.3316497750984769,-0.329089170059114,0.3620606360128911,0.5989404433032233,-0.42760269535921885,0.05172819034539679,0.2867300859733723,-0.4218055919619615,0.03983172384362826,0.3171732869123039,-0.42760269535921896,0.03863310878902608,0.31852217134326777,-0.42835457566650903,0.04001220609591486,0.31771202505660423,-0.4246007395557137
ndvi,0.3620606360128911,1.0,0.0068958301999202795,0.013709670178943995,0.014202399452911681,-0.03606869944521331,-0.01655460199809606,0.02796064921510843,0.2630070950222996,0.37160835647346857,0.5823263154413736,0.17142256809777204,0.15235409391466337,0.08905439184616876,-0.0427421768595246,0.637460567345957,0.2965970638137485,0.6077261461417034,0.32527668399772564,,0.06261554756762826,0.06261554756762826,-0.39935693097610525,-0.6334085932933232,-0.226752888517252,0.04718216525150987,0.11801345851747068,0.5404721756746395,-1.7076327565946986e-05,0.11491248554859343,0.15580268810080222,0.2218021740974928,-0.5607216578908301,0.6239233306754225,0.5434964400618231,-0.14794545588769178,0.18768332216532677,0.6625964802793286,0.40096097426974586,0.636060902279519,0.6625964802793286,0.40096097426974586,0.636060902279519,-0.2825310265181469,-0.39908827470947733,0.15208271097740006,1.0,0.4650255050280572,0.29111427392027023,0.7093585696278103,-0.010211151247479905,0.28362482351092216,0.7084011629631506,0.02650949885449418,0.29111427392027034,0.7081511982134624,0.028888327879752557,0.29228486105623463,0.7083989756164202,0.03442821690257473,0.2982062881923905
volumenImagen,0.7608973088102162,0.0068958301999202795,1.0,0.9483998316604944,0.7879709174275636,0.9259250920074656,0.8328369164899726,0.7094449603755537,0.5217193534048022,-0.10096359014429283,-0.47346155581143207,0.33303743070894476,-0.39861350361950587,0.3656526889422498,0.09623814311383251,-0.3575506376282046,0.22995288594282295,-0.2230791657054153,-0.04630905735709641,,0.016456740424460617,0.016456740424460617,0.3869217074658184,0.32294487269488087,0.5150030632916719,0.12033069737572634,0.42776974937698276,-0.5126895974019442,0.014776255667441007,0.34710107245683075,-0.3939404032401527,-0.011355566368922532,0.39960821956105563,-0.3912777396042175,-0.2444835253538266,0.40982431111771483,-0.49649377079179036,-0.2522754079439929,0.11210742010012727,-0.3572832150573482,-0.2522754079439929,0.11210742010012727,-0.3572832150573482,0.11172140215045138,0.4578671475863922,-0.411634776747771,0.006895830199920127,0.4525477487903026,-0.5812669496537491,-0.2943967068506784,0.333996029243195,-0.5642370649972699,-0.3025055117003431,0.33778563910781834,-0.581266949653749,-0.3032903329326558,0.3375905803728241,-0.5839900955723769,-0.3023892090922522,0.3325664170632646,-0.5821375567777279
volumenCalculado,0.7549047452296734,0.013709670178943995,0.9483998316604944,1.0,0.8277696283752296,0.9381983670614975,0.7153207562392209,0.8109524801592296,0.47137261211849407,-0.07706066976592162,-0.48942646245838783,0.3202397640890066,-0.430442123708535,0.33357500170762716,0.03110602425972961,-0.3642020025094347,0.24335521119388032,-0.1927366887028119,-0.02963503119451997,,0.04964084422362558,0.04964084422362558,0.4115613764823296,0.31899251195881995,0.4826457538151778,0.09209946880123836,0.40282622892239206,-0.5346506471134346,-0.05303786497131457,0.3411508674361094,-0.423753905306914,-0.014132514411426492,0.36523838387212476,-0.40575550503869867,-0.16071623040995603,0.4400279183315426,-0.4388301221159753,-0.23301726961540806,0.08284177671002878,-0.3694402422033824,-0.23301726961540806,0.08284177671002878,-0.3694402422033824,0.01843326521419448,0.41384069872321716,-0.44307018398638764,0.013709670178943662,0.46960954936746235,-0.5289443141876267,-0.2633984615076732,0.33744421952291237,-0.5191405191542624,-0.2694156842395043,0.35590456063577186,-0.5289443141876268,-0.2698861567402533,0.3565416389772158,-0.5304506374227589,-0.2692785744010794,0.3497183557041292,-0.5299052987866082
areaCalculada,0.6102318301229421,0.014202399452911681,0.7879709174275636,0.8277696283752296,1.0,0.8011729836029382,0.5817017657947792,0.6539037356068115,0.4107747905888035,-0.056227061620870475,-0.35088563215550517,0.32508951575905176,-0.36727000793983433,0.3295011558979751,0.04209384722236624,-0.23626872009521657,0.21228785909078848,-0.11971104856636385,-0.07857546255129008,,0.13649636756043484,0.13649636756043484,0.2424628256248442,0.18826614383810952,0.3964372526681165,0.20431066328283765,0.38763602790755974,-0.3845511330278213,0.03869151786778841,0.3336191842875218,-0.35893877797132095,0.08954811910917207,0.26392681261355805,-0.26610283057131706,-0.11872967455302572,0.3739203195982908,-0.38990654701473504,-0.13549642488437957,0.12739007887026302,-0.24625135444165913,-0.13549642488437957,0.12739007887026302,-0.24625135444165913,0.03318767973750029,0.3407502942544933,-0.38025648949255286,0.014202399452911324,0.3873989098844291,-0.45073934442466196,-0.15653614297486493,0.3152461682544276,-0.4445688716438504,-0.16247163100607012,0.333192400685481,-0.4507393444246623,-0.16306070639934897,0.3339801378442438,-0.45162333091710993,-0.16248310391250653,0.3281294164124043,-0.45010997660495344
areaImagen,0.6321542984453792,-0.03606869944521331,0.9259250920074656,0.9381983670614975,0.8011729836029382,1.0,0.5827828217654087,0.5742797852791989,0.39761719364959175,-0.10830595410289,-0.4900863879914098,0.22985537290093516,-0.4115113025117507,0.21960162213404077,-0.0077145952629454366,-0.3715972757606382,0.14547210814931885,-0.22317263093242323,-0.0744959914816123,,0.024261595912209985,0.024261595912209985,0.35509682240881535,0.32617541842146075,0.3902274538412878,0.12151645418289903,0.312557612034402,-0.5290600324154259,-0.009365915135693553,0.2328624371908313,-0.3991560640258989,0.01180246283266654,0.35005481991497467,-0.4075221247296861,-0.168734381780509,0.42455709033604355,-0.3517796198927066,-0.2647464622751492,0.053205137057885314,-0.37875767987032555,-0.2647464622751492,0.053205137057885314,-0.37875767987032555,0.012891762442521309,0.351245761920236,-0.42424394248383007,-0.03606869944521346,0.40559647656735665,-0.4780285167547488,-0.2890844843089109,0.3301435748015395,-0.4668082966586397,-0.29498211241576383,0.33882084133921997,-0.47802851675474894,-0.29554429775016655,0.3389507310162681,-0.47991447272179233,-0.29490894140247953,0.3315191437182266,-0.4795168211711985
alturaImagen,0.7197362608947119,-0.01655460199809606,0.8328369164899726,0.7153207562392209,0.5817017657947792,0.5827828217654087,1.0,0.7540903307863766,0.5631204454516875,-0.09643506822925943,-0.35710360457601004,0.42247225871471555,-0.31448602726620023,0.5143922137178958,0.1991669986225889,-0.27946852201340094,0.2774524859096203,-0.20040252503276512,-0.018187414930449515,,0.022117565508406566,0.022117565508406566,0.3430269253803604,0.26530406769558657,0.5735721566359951,0.09130107996403335,0.5151443680389176,-0.3767915905591877,0.06133404728727662,0.4651953779549543,-0.3179606446195365,-0.055422710766862,0.4016511518379336,-0.2993548847825289,-0.30163149029422553,0.32324785786936794,-0.6030264622739462,-0.20465007902272853,0.16379159643245217,-0.27001881432410735,-0.20465007902272853,0.16379159643245217,-0.27001881432410735,0.22093368865909113,0.5412772512011172,-0.3264706919540034,-0.016554601998096215,0.35223464422633555,-0.6171681788802067,-0.25466153614691295,0.23238876461358005,-0.5990712485436032,-0.26513442224396316,0.2339060454153531,-0.6171681788802069,-0.2661847170234165,0.2336149001238408,-0.619832373957798,-0.265086600940816,0.23301548481769635,-0.6170848964181059
alturaMedida,0.7300562797086255,0.02796064921510843,0.7094449603755537,0.8109524801592296,0.6539037356068115,0.5742797852791989,0.7540903307863766,1.0,0.46262133981432296,-0.046427091842524186,-0.37430676880551705,0.3977935923140617,-0.3805109462205748,0.4566154571997552,0.057740875961092494,-0.27069239033170456,0.3242452344922357,-0.1196855433278443,0.027834945164603227,,0.0919504280505461,0.0919504280505461,0.38487798392530254,0.2361775527078785,0.514659444956831,0.035133814041785075,0.46652699841860423,-0.40467351972121907,-0.11115549271533602,0.4648617262480877,-0.38038344927871875,-0.052988582234317495,0.31873977006767656,-0.30647144914847596,-0.1047356936306135,0.3837791292073026,-0.4787517834732347,-0.13959437478903675,0.11008567170781827,-0.2711793600995911,-0.13959437478903675,0.11008567170781827,-0.2711793600995911,0.01669296577054175,0.42863452269170765,-0.3914589287679689,0.027960649215108376,0.39295374051568027,-0.49416669652542206,-0.15605925534133902,0.24865066914061065,-0.4910234298363677,-0.16283359728286928,0.2777761557821605,-0.4941666965254225,-0.16330824329223478,0.27904041924876993,-0.4943182834610017,-0.16287780793230952,0.2752115290680974,-0.49411943868561076
datosIafNdvi,0.5718684055729206,0.2630070950222996,0.5217193534048022,0.47137261211849407,0.4107747905888035,0.39761719364959175,0.5631204454516875,0.46262133981432296,1.0,-0.027629455241220267,-0.14074526687917907,0.7255351770631802,-0.2024866724573442,0.7372645461370239,0.14096248014987478,-0.10529129915102879,0.34899592472857927,-0.07186344503323865,0.020546642859665613,,-0.04977001064960092,-0.04977001064960092,0.19650764538813392,0.08923685364545256,0.4299500533043262,0.20688135194864357,0.8388137244411669,-0.15536781599805966,0.194861866673619,0.734517248522926,-0.21013419967772784,0.10144929748439364,0.28234998581985854,-0.11550089267584863,-0.1533807595971458,0.20566074194319928,-0.7532273665913175,-0.06578809302428495,0.12300813164859425,-0.10767571225919649,-0.06578809302428495,0.12300813164859425,-0.10767571225919649,0.12560294749716336,0.5139266736907678,-0.20469891781790145,0.2630070950222998,0.3032806478347134,-0.8326371215633988,-0.09361851341075512,0.054565791643491304,-0.8383625302852834,-0.10120654536029326,0.05210176978126158,-0.8326371215633984,-0.10204378988704887,0.0519521809091145,-0.8309694929597647,-0.10115072270475532,0.050676905955635496,-0.8285343356522389
meanRed,0.09237964872605062,0.37160835647346857,-0.10096359014429283,-0.07706066976592162,-0.056227061620870475,-0.10830595410289,-0.09643506822925943,-0.046427091842524186,-0.027629455241220267,1.0,0.5561001575413201,0.41908334941579534,0.07463982933142532,0.270113281259797,0.42057999944240165,0.6829889761758832,0.6740455639891216,0.8891928881184958,0.6716756213561085,,0.6344621949831245,0.6344621949831245,0.08716559664397755,-0.6206764748281902,0.11516732907118654,-0.16775417701568665,0.05493972254570466,0.29660204962492553,-0.07868183401700501,0.10670697892382655,0.056536861276952816,0.19571483573532888,-0.6715141573843637,0.5987306267914343,0.40945403437269706,-0.07327150677557207,0.07049286513647975,0.759255027070226,0.4262677646140925,0.6798359456896336,0.759255027070226,0.4262677646140925,0.6798359456896336,-0.23293082156212183,-0.26861733227768597,0.08210685404567823,0.37160835647346885,0.2679375221363084,0.2189848670506143,0.5056960440223351,0.016870040998790758,0.2037171874188729,0.519275893770642,0.09465690615080265,0.21898486705061443,0.521071030759523,0.09935595770152342,0.22147170355523355,0.524095061101757,0.10340535460870587,0.22785823669162034
minRed,-0.14697985628246063,0.5823263154413736,-0.47346155581143207,-0.48942646245838783,-0.35088563215550517,-0.4900863879914098,-0.35710360457601004,-0.37430676880551705,-0.14074526687917907,0.5561001575413201,1.0,0.11152421360293573,0.381374144355556,0.043350474849931334,0.09636636893897875,0.9042751449682508,0.2626943424354682,0.7849726504083522,0.44047601854807295,,0.24110515934012453,0.24110515934012453,-0.6446019530269583,-0.8575211447946965,-0.41914845819084673,-0.03327762629850958,-0.10006549401404234,0.9576963613214138,-0.021542930541305922,0.003371602790707945,0.3829100436477169,0.24313566768865033,-0.785558240671585,0.9104495666157691,0.5569869776831398,-0.37931334050377896,0.3316145700222602,0.8320914808907802,0.44990786242532865,0.899050771098535,0.8320914808907802,0.44990786242532865,0.899050771098535,-0.21296842314009035,-0.48566563711669714,0.3821967094770201,0.5823263154413737,-0.12623808856141727,0.5295963419531533,0.8173065913240527,-0.35028657991575984,0.5160240171377393,0.8230801479127362,-0.3140358864342516,0.5295963419531535,0.8234855786945905,-0.3112019568344894,0.5317749133529981,0.8241885475701966,-0.30000181129586906,0.5384340321911576
maxRed,0.4581561470002413,0.17142256809777204,0.33303743070894476,0.3202397640890066,0.32508951575905176,0.22985537290093516,0.42247225871471555,0.3977935923140617,0.7255351770631802,0.41908334941579534,0.11152421360293573,1.0,-0.1503739345277656,0.9275424827997267,0.30915320330727775,0.22623688272676462,0.712157768321943,0.3232889475140726,0.26971279952102717,,0.3249256841021144,0.3249256841021144,0.2503912322741613,-0.19907827580959284,0.5119574676550459,0.10141446996220022,0.9233725312154927,-0.01672935699544169,0.12624565184295275,0.8669831041870772,-0.16552663779790117,0.200065833921443,0.02097709149599986,0.1887070518202112,0.048101012292779535,0.15385118738160236,-0.7174437960051466,0.2670602611636199,0.2814503113410466,0.2216529677486432,0.2670602611636199,0.2814503113410466,0.2216529677486432,-0.009220461381026519,0.4258022480713774,-0.14732626330230264,0.17142256809777212,0.35848396274633887,-0.6332516726186792,0.13545678180540557,0.14688467810271383,-0.6428403023925096,0.1316880501856277,0.20087327007015354,-0.6332516726186792,0.13132060737512902,0.20386900561230428,-0.6309894408122552,0.13396456631702183,0.20389557461232793,-0.6243365545500177
minGreen,-0.3213904444468983,0.15235409391466337,-0.39861350361950587,-0.430442123708535,-0.36727000793983433,-0.4115113025117507,-0.31448602726620023,-0.3805109462205748,-0.2024866724573442,0.07463982933142532,0.381374144355556,-0.1503739345277656,1.0,-0.12515962188965704,0.16597454747297058,0.28832680683860135,-0.16809507959003506,0.2006356802141121,-0.01294268677456226,,0.055496678999552365,0.055496678999552365,-0.4087476449646519,-0.29943882475221456,-0.313317494087737,0.07406579486299472,-0.2061896509883702,0.4168580951602037,0.04378105597313109,-0.19640221100567107,0.9952339330523848,0.12043468540290288,-0.3388217104140409,0.3076462564399888,0.021107794917920364,-0.9966307142881532,0.18882605006401054,0.2785951771690156,0.15952797161683643,0.308618449798426,0.2785951771690156,0.15952797161683643,0.308618449798426,0.18890183207498643,-0.17191668547094052,0.9946213678910973,0.15235409391466329,-0.22666192404612842,0.32159301082729885,0.281501215952461,-0.18886388408588278,0.33173716007423776,0.28665467099602204,-0.2093125794903245,0.3215930108272991,0.2870343538745848,-0.21015341526067471,0.31993952881289345,0.286348530074462,-0.20575316347601663,0.3228678525649784
maxGreen,0.4708686120695163,0.08905439184616876,0.3656526889422498,0.33357500170762716,0.3295011558979751,0.21960162213404077,0.5143922137178958,0.4566154571997552,0.7372645461370239,0.270113281259797,0.043350474849931334,0.9275424827997267,-0.12515962188965704,1.0,0.3714188919921522,0.1332756338020627,0.6187147632219925,0.1935829228525017,0.17945372355385122,,0.27506745723042364,0.27506745723042364,0.20491411558992703,-0.1235543279876603,0.5861355276437669,0.1428216126566473,0.8987519829011998,-0.044356742091689286,0.12627643306236802,0.9232843727270824,-0.14196630054432496,0.15213001548629343,0.1234368408490708,0.10930647338307428,-0.10634163435564956,0.12767896554336725,-0.8406689970366336,0.17828918317287365,0.32929202161753357,0.13637258132699376,0.17828918317287365,0.32929202161753357,0.13637258132699376,0.1553992729000725,0.5925975610862733,-0.1219994396586912,0.08905439184616887,0.30966981357703255,-0.6859883787979961,0.06394614113435815,0.18092721822938135,-0.6951629410809047,0.057001369981619476,0.21429789881068198,-0.6859883787979961,0.05622516058154067,0.21604669879762073,-0.683743890449192,0.05857571556617201,0.2175878063593707,-0.6782868951989022
meanGreen,0.1112274972994223,-0.0427421768595246,0.09623814311383251,0.03110602425972961,0.04209384722236624,-0.0077145952629454366,0.1991669986225889,0.057740875961092494,0.14096248014987478,0.42057999944240165,0.09636636893897875,0.30915320330727775,0.16597454747297058,0.3714188919921522,1.0,0.15162158808256737,0.3424191151199688,0.24547425013762428,0.16499001607424826,,0.34599702270564076,0.34599702270564076,0.22388229991934652,-0.109906319037574,0.5835971368279611,-0.05056112894558869,0.1523971677815306,-0.031085766611259925,-0.09377460226012609,-0.005749220137264311,0.11520947990187838,0.029767062714721484,-0.09847477205150457,0.1198893426911216,-0.5799152754556949,-0.17524547969402507,-0.34668523889250924,0.2626333136430229,0.4179875795266558,0.1718015428937439,0.2626333136430229,0.4179875795266558,0.1718015428937439,0.7740688108330167,0.3981601644301782,0.19086390240371764,-0.04274217685952452,0.1435034622601579,-0.18407770861023562,-0.020905505384845962,0.09878134895286893,-0.18738698162496598,-0.01846298059558449,0.12510751403751919,-0.18407770861023548,-0.01798107248315025,0.1266442264138118,-0.18326004110914598,-0.015548581516137675,0.12847568059981948,-0.1810602810027028
minBlue,-0.018221787666427007,0.637460567345957,-0.3575506376282046,-0.3642020025094347,-0.23626872009521657,-0.3715972757606382,-0.27946852201340094,-0.27069239033170456,-0.10529129915102879,0.6829889761758832,0.9042751449682508,0.22623688272676462,0.28832680683860135,0.1332756338020627,0.15162158808256737,1.0,0.3998080357215038,0.9087903063225902,0.5298282704944883,,0.3092098260987749,0.3092098260987749,-0.5520171908950912,-0.952555565309003,-0.2569945813935634,-0.04540922682038969,-0.027555383745655356,0.8013661466711971,-0.057357633696778265,0.07728130162268455,0.2832943285002828,0.315824671875747,-0.8531458417231788,0.9920606400698818,0.6273446489678582,-0.284110249162506,0.26713083638771495,0.9453081110561741,0.5614678598599956,0.989310911701097,0.9453081110561741,0.5614678598599956,0.989310911701097,-0.26778033184065747,-0.4719273032123371,0.2929784314116114,0.637460567345957,0.16359449921301375,0.48078132281803415,0.9124385396794391,-0.012861852301600432,0.4669872241341473,0.9138126183905095,0.04021294459469039,0.4807813228180346,0.9137310542123626,0.04356830500044275,0.4828132564998623,0.9153362976781733,0.054065225114890536,0.49159789571954976
maxBlue,0.40892604265209836,0.2965970638137485,0.22995288594282295,0.24335521119388032,0.21228785909078848,0.14547210814931885,0.2774524859096203,0.3242452344922357,0.34899592472857927,0.6740455639891216,0.2626943424354682,0.712157768321943,-0.16809507959003506,0.6187147632219925,0.3424191151199688,0.3998080357215038,1.0,0.5618354681403084,0.46495888513097844,,0.4240536307224303,0.4240536307224303,0.3316859111617642,-0.2839603299672349,0.4477507053129533,-0.06364888533287812,0.5167407279820386,0.07347928259637311,-0.017022455595057214,0.5156213617151283,-0.1821651920078578,0.08799348466967027,-0.08685743554191964,0.3353837138630636,0.21124033670395415,0.16966335165911242,-0.36027999986140286,0.4653562846587413,0.41436678692945283,0.38824173137253776,0.4653562846587413,0.41436678692945283,0.38824173137253776,-0.1402985320383809,0.15563845828728767,-0.1586598532098347,0.2965970638137483,0.4342879055502352,-0.2149261272107476,0.2786577819825765,0.12230014001595287,-0.22636896189682368,0.27529146796181836,0.20259183714708107,-0.2149261272107478,0.2750652503570908,0.20693097262009982,-0.2128554200558825,0.2786779379726304,0.21026856892057463,-0.20691697927781683
meanBlue,0.07548073220338916,0.6077261461417034,-0.2230791657054153,-0.1927366887028119,-0.11971104856636385,-0.22317263093242323,-0.20040252503276512,-0.1196855433278443,-0.07186344503323865,0.8891928881184958,0.7849726504083522,0.3232889475140726,0.2006356802141121,0.1935829228525017,0.24547425013762428,0.9087903063225902,0.5618354681403084,1.0,0.6799771817155935,,0.4959118918994148,0.4959118918994148,-0.2793652587054867,-0.8693608745889168,-0.12394214839129117,-0.09307019730540816,-0.0019962522465668507,0.5971004448641364,-0.07341394596083119,0.09930177769283885,0.1923302525330265,0.30444721122824087,-0.8713635905593288,0.8505811655897001,0.640233529252954,-0.19624771518037215,0.21884821261638662,0.9657945362730623,0.5720390928443888,0.9112043056478587,0.9657945362730623,0.5720390928443888,0.9112043056478587,-0.3260717705315028,-0.4455730871036992,0.20552350336812186,0.6077261461417035,0.2719630691368219,0.4102060363807924,0.8429530096788259,0.020974772849789276,0.3957250787124521,0.8509293322294788,0.09847889529147812,0.41020603638079206,0.8518733208737262,0.10320249978541955,0.4124214373771194,0.8538859506223003,0.11042882841836456,0.42073160465595844
maxHistIndexValue,0.11880478553351524,0.32527668399772564,-0.04630905735709641,-0.02963503119451997,-0.07857546255129008,-0.0744959914816123,-0.018187414930449515,0.027834945164603227,0.020546642859665613,0.6716756213561085,0.44047601854807295,0.26971279952102717,-0.01294268677456226,0.17945372355385122,0.16499001607424826,0.5298282704944883,0.46495888513097844,0.6799771817155935,1.0,,0.41093627873326466,0.41093627873326466,-0.011264347562276492,-0.43782021419353895,-0.03686376236707099,-0.116268517185155,0.02196886767311768,0.2733869594067672,-0.04342410501684007,0.11614473816258182,-0.027347655348777495,0.10198054098602649,-0.5318793378421979,0.46176883279175274,0.43451337382571226,0.0073888247221311045,0.09094394658381773,0.6134808579614853,0.5174052986441832,0.5273465461794165,0.6134808579614853,0.5174052986441832,0.5273465461794165,-0.27622677968605674,-0.2502568865389125,-0.0031505354053577438,0.3252766839977255,0.177064041509091,0.1528572591194847,0.4796864645642117,-0.0028756013207415936,0.14978324295594467,0.48404229420668926,0.04417302111052792,0.1528572591194847,0.48468243577934383,0.04704059444948745,0.15330035722227453,0.48668780028355524,0.053818036021227186,0.15943561038776338
maxHistRedIndexValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
